Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA117D_2.4GHz_Left,1,Antenna_Shield,
"C1, C2",0603,2,27pF,
"C10, C11, C12, C13, C16, C18, C19",0603,7,100n,
"C14, C15, C3, C7",0805,4,10u,
C17,0603,1,2.2u,
"C20, C21",0402,2,3.3pF,
"C4, C5, C6, C8, C9",0402,5,100n,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_14P,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"L1, L2, L3",0402,3,2.2nH,
R1,0402,1,22,
"R2, R5, R6, R7, R8, R9",0402,6,5.1K,
"R3, R4",0402,2,470,
SW1,SW_SPST_TS-1088-xR020,1,RESET,
SW2,SW_SPST_TS-1088-xR020,1,BOOT,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,1,ESP32-C3,
U2,Winbond_USON-8-2EP_3x4mm_P0.8mm_EP0.2x0.8mm,1,W25Q128JVP,
U3,SOT-666,1,USBLC6-2P6,
U4,LGA-8_3x5mm_P1.25mm,1,MS5611-01BA,
U5,SOT-23-5,1,SPX3819M5-L-3-3,
U6,Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm,1,SHTC3,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
