Designator,Mid X,Mid Y,Rotation,Layer
C1,178.875,-69.2,0.0,top
C10,155.7,-69.025,90.0,top
C11,169.5,-56.9,270.0,top
C12,164.3,-53.6,0.0,top
C13,158.5,-55.9,90.0,top
C14,161.25,-58.7,0.0,top
C15,167.25,-56.1,270.0,top
C16,164.5,-58.6,180.0,top
C17,164.3,-51.9,0.0,top
C18,155.7,-53.1,270.0,top
C19,179.2,-53.3,270.0,top
C2,171.7,-68.1,90.0,top
C20,178.9,-63.13,270.0,top
C21,181.9,-63.13,270.0,top
C3,180.66,-58.13,180.0,top
C4,181.875,-60.455,90.0,top
C5,178.95,-60.45,90.0,top
C6,177.1,-65.55,270.0,top
C7,171.3,-56.9,90.0,top
C8,175.85,-56.8,90.0,top
C9,171.32,-64.1,180.0,top
J1,152.5,-61.1,270.0,top
J2,164.04,-69.05,90.0,top
L1,180.41,-60.925,180.0,top
L2,160.3,-55.85,90.0,top
L3,180.385,-62.65,180.0,top
R1,176.7,-68.7,270.0,top
R2,155.9,-67.0,180.0,top
R3,165.85,-66.7,0.0,top
R4,163.3,-66.7,0.0,top
R5,158.49,-59.85,0.0,top
R6,158.49,-62.85,0.0,top
R7,155.9,-55.125,180.0,top
R8,168.225,-53.3,270.0,top
R9,172.225,-53.3,270.0,top
SW1,151.9,-69.05,0.0,top
SW2,151.9,-53.05,0.0,top
U1,175.15,-60.9,270.0,top
U2,168.3,-61.0,0.0,top
U3,161.5,-61.1,0.0,top
U4,175.6,-53.225,90.0,top
U5,164.1,-56.1,180.0,top
U6,170.225,-53.05,0.0,top
Y2,174.3,-68.1,90.0,top
